Carrera,Carrito,Equipo,Fecha_y_ hora_Prestamo,Fecha_y_ hora_Devolucion,Institucion,Modulo,Tipo_Dispositivo
MATEMATICAS APLICADAS Y COMPUTACION,C01,L10,10/16/24 13:44,10/16/24 16:14,F.E.S. ACATLAN,Módulo 1 Explanada M@C,Laptop
MATEMATICAS APLICADAS Y COMPUTACION,C05,C24,10/16/24 13:38,10/16/24 16:08,F.E.S. ACATLAN,Módulo 1 Explanada M@C,Chromebook
INGENIERIA CIVIL,C04,L20,10/16/24 13:36,10/16/24 16:06,F.E.S. ACATLAN,Módulo 1 Explanada M@C,Laptop
PEDAGOGIA,C02,T04,10/16/24 13:35,10/16/24 16:05,F.E.S. ACATLAN,Módulo 2 A-11,iPad
ARQUITECTURA,C04,L18,10/16/24 13:35,10/16/24 16:05,F.E.S. ACATLAN,Módulo 1 Explanada M@C,Laptop
ARQUITECTURA,C04,L17,10/16/24 13:34,10/16/24 16:04,F.E.S. ACATLAN,Módulo 1 Explanada M@C,Laptop
FILOSOFIA,C06,E27,10/16/24 13:30,10/16/24 16:00,F.E.S. ACATLAN,Módulo 2 A-11,Chromebook
PEDAGOGIA,C06,E26,10/16/24 13:30,10/16/24 16:00,F.E.S. ACATLAN,Módulo 2 A-11,Chromebook
DISEÃ‘O GRAFICO,C04,L14,10/16/24 13:26,10/16/24 15:56,F.E.S. ACATLAN,Módulo 1 Explanada M@C,Laptop
ECONOMIA,C06,E25,10/16/24 13:24,10/16/24 15:54,F.E.S. ACATLAN,Módulo 2 A-11,Chromebook
ARQUITECTURA,C04,L13,10/16/24 13:23,10/16/24 15:53,F.E.S. ACATLAN,Módulo 1 Explanada M@C,Laptop
COMUNICACION,C04,L03,10/16/24 13:21,10/16/24 15:51,F.E.S. ACATLAN,Módulo 1 Explanada M@C,Laptop
PEDAGOGIA,C06,E24,10/16/24 13:20,10/16/24 15:50,F.E.S. ACATLAN,Módulo 2 A-11,Chromebook
ARQUITECTURA,C04,L04,10/16/24 13:20,10/16/24 15:50,F.E.S. ACATLAN,Módulo 1 Explanada M@C,Laptop
INGENIERIA CIVIL,C04,L01,10/16/24 13:20,10/16/24 15:50,F.E.S. ACATLAN,Módulo 1 Explanada M@C,Laptop
ECONOMIA,C06,E23,10/16/24 13:17,10/16/24 15:47,F.E.S. ACATLAN,Módulo 2 A-11,Chromebook
LENGUA Y LITERATURAS HISPANICAS,C06,E22,10/16/24 13:14,10/16/24 15:44,F.E.S. ACATLAN,Módulo 2 A-11,Chromebook
INGENIERIA CIVIL,C04,L30,10/16/24 13:08,10/16/24 15:38,F.E.S. ACATLAN,Módulo 1 Explanada M@C,Laptop
MATEMATICAS APLICADAS Y COMPUTACION,C01,L08,10/16/24 12:55,10/16/24 15:25,F.E.S. ACATLAN,Módulo 1 Explanada M@C,Laptop
DISEÃ‘O GRAFICO,C04,L29,10/16/24 12:51,10/16/24 15:21,F.E.S. ACATLAN,Módulo 1 Explanada M@C,Laptop
PEDAGOGIA,C06,E21,10/16/24 12:49,10/16/24 15:19,F.E.S. ACATLAN,Módulo 2 A-11,Chromebook
LENGUA Y LITERATURAS HISPANICAS,C06,E20,10/16/24 12:49,10/16/24 15:19,F.E.S. ACATLAN,Módulo 2 A-11,Chromebook
PROFESOR,C06,E19,10/16/24 12:46,10/16/24 15:16,F.E.S. ACATLAN,Módulo 2 A-11,Chromebook
ARQUITECTURA,C04,L26,10/16/24 12:44,10/16/24 15:14,F.E.S. ACATLAN,Módulo 1 Explanada M@C,Laptop
INGENIERIA CIVIL,C04,L24,10/16/24 12:36,10/16/24 15:06,F.E.S. ACATLAN,Módulo 1 Explanada M@C,Laptop
DISEÃ‘O GRAFICO,C05,L03,10/16/24 12:34,10/16/24 15:04,F.E.S. ACATLAN,Módulo 2 A-11,Laptop
DISEÃ‘O GRAFICO,C04,L23,10/16/24 12:37,10/16/24 15:07,F.E.S. ACATLAN,Módulo 1 Explanada M@C,Laptop
DISEÃ‘O GRAFICO,C04,L19,10/16/24 12:34,10/16/24 15:04,F.E.S. ACATLAN,Módulo 1 Explanada M@C,Laptop
INGENIERIA CIVIL,C01,T14,10/16/24 12:33,10/16/24 15:03,F.E.S. ACATLAN,Módulo 3 CEDETEC,iPad
PEDAGOGIA,C02,T05,10/16/24 12:31,10/16/24 15:01,F.E.S. ACATLAN,Módulo 2 A-11,iPad
COMUNICACION,C06,E18,10/16/24 12:30,10/16/24 15:00,F.E.S. ACATLAN,Módulo 2 A-11,Chromebook
PEDAGOGIA,C06,E17,10/16/24 12:27,10/16/24 14:57,F.E.S. ACATLAN,Módulo 2 A-11,Chromebook
RELACIONES INTERNACIONALES,C06,E16,10/16/24 12:26,10/16/24 14:56,F.E.S. ACATLAN,Módulo 2 A-11,Chromebook
PEDAGOGIA,C06,E15,10/16/24 12:28,10/16/24 14:58,F.E.S. ACATLAN,Módulo 2 A-11,Chromebook
RELACIONES INTERNACIONALES,C02,C09,10/16/24 12:23,10/16/24 14:53,F.E.S. ACATLAN,Módulo 1 Explanada M@C,Chromebook
ENSEÃ‘ANZA DE INGLES,C06,E14,10/16/24 12:22,10/16/24 14:52,F.E.S. ACATLAN,Módulo 2 A-11,Chromebook
ENSEÃ‘ANZA DE INGLES,C06,E13,10/16/24 12:22,10/16/24 14:52,F.E.S. ACATLAN,Módulo 2 A-11,Chromebook
INGENIERIA CIVIL,C04,L22,10/16/24 12:18,10/16/24 14:48,F.E.S. ACATLAN,Módulo 1 Explanada M@C,Laptop
COMUNICACION,C02,C08,10/16/24 12:16,10/16/24 14:46,F.E.S. ACATLAN,Módulo 1 Explanada M@C,Chromebook
INGENIERIA CIVIL,C04,L21,10/16/24 12:15,10/16/24 14:45,F.E.S. ACATLAN,Módulo 1 Explanada M@C,Laptop
RELACIONES INTERNACIONALES,C02,C07,10/16/24 12:15,10/16/24 14:45,F.E.S. ACATLAN,Módulo 1 Explanada M@C,Chromebook
RELACIONES INTERNACIONALES,C02,C06,10/16/24 12:15,10/16/24 14:45,F.E.S. ACATLAN,Módulo 1 Explanada M@C,Chromebook
RELACIONES INTERNACIONALES,C02,C05,10/16/24 12:15,10/16/24 14:45,F.E.S. ACATLAN,Módulo 1 Explanada M@C,Chromebook
ACTUARIA,C05,C23,10/16/24 12:14,10/16/24 14:44,F.E.S. ACATLAN,Módulo 1 Explanada M@C,Chromebook
DISEÃ‘O GRAFICO,C04,L18,10/16/24 12:14,10/16/24 14:44,F.E.S. ACATLAN,Módulo 1 Explanada M@C,Laptop
MATEMATICAS APLICADAS Y COMPUTACION,C01,L07,10/16/24 12:12,10/16/24 14:42,F.E.S. ACATLAN,Módulo 1 Explanada M@C,Laptop
ARQUITECTURA,C05,C22,10/16/24 12:11,10/16/24 14:41,F.E.S. ACATLAN,Módulo 1 Explanada M@C,Chromebook
SOCIOLOGIA,C06,E12,10/16/24 12:11,10/16/24 14:41,F.E.S. ACATLAN,Módulo 2 A-11,Chromebook
